商品名称,商品价格,评论数,店铺名,其它信息
京品手机
华为 HUAWEI 畅享9 Plus 4GB+64GB 极光紫 全网通 四摄超清全面屏大电池 移动联通电信4G 双卡双待,1099.00,57万+条评价,华为京东自营官方旗舰店,无
小米9SE 骁龙712 索尼4800万超广角三摄 5.97英寸舒适握感 全息幻彩蓝 8GB+128GB 游戏智能拍照,1899.00,17万+条评价,小米京东自营旗舰店,无
三星 Galaxy A90 5G（SM-A9080）全息黑 疾速5G 骁龙855 8GB+128GB 全息3D格纹设计 双卡双待,4499.00,2900+条评价,三星手机京东自营官方旗舰店,无
中兴ZTE Blade A7S 水滴全面屏 4GB+64GB湖光蓝 1600万高清三摄 全网通4G 双卡双待,699.00,400+条评价,中兴京东自营官方旗舰店,无
华为 HUAWEI nova 5i Pro 前置3200万人像超级夜景4800万AI四摄极点全面屏6GB+128GB翡冷翠全网通双4G,1899.00,9.3万+条评价,华为京东自营官方旗舰店,无
三星 Galaxy S10+ 骁龙855 4G手机 8GB+128GB 皓玉白 全网通 双卡双待 游戏,6399.00,4.8万+条评价,三星手机京东自营官方旗舰店,无
【千玺代言】华为新品 HUAWEI nova 4 极点全面屏手机 2000万超广角三摄 8GB+128GB 亮黑色 全网通双卡双待,1899.00,23万+条评价,华为京东自营官方旗舰店,无
华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通版,4999.00,4.1万+条评价,华为京东自营官方旗舰店,无
魅族 16th 全面屏游戏手机 6GB+64GB 静夜黑 全网通移动联通电信4G手机 双卡双待,1598.00,22万+条评价,魅族京东自营旗舰店,无
【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏,3999.00,33万+条评价,一加手机京东自营官方旗舰店,无
魅族 16s 骁龙855全面屏拍照游戏手机 6GB+128GB 碳纤黑 全网通移动联通电信4G 双卡双待,2499.00,6.8万+条评价,魅族京东自营旗舰店,无
华为Mate30pro 5G版 手机 亮黑 全网通(8G+256G),6899.00,500+条评价,掌视界数码旗舰店,无
Redmi Note7pro 索尼4800万超清双摄 骁龙675 4000mAh超长续航 6GB+128GB 镜花水月 游戏 小米 红米,1199.00,47万+条评价,小米京东自营旗舰店,无
OPPO Reno2 4800万变焦四摄 视频防抖 6.5英寸阳光护眼全面屏 8GB+128GB 薄雾粉 拍照游戏智能,2999.00,2.5万+条评价,OPPO京东自营官方旗舰店,无
华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G 双卡双待,2388.00,73万+条评价,华为京东自营官方旗舰店,无
Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh NFC 18W快充 6GB+128GB 冰翡翠 游戏 小米 红米,1499.00,24万+条评价,小米京东自营旗舰店,无
vivo NEX 3 5G 液态天河 8GB+256GB 无界瀑布屏 高通骁龙855Plus 6400万三摄 5G智慧旗舰新品 全网通,4998.00,1.3万+条评价,vivo京东自营官方旗舰店,无
魅族 16 X 全面屏游戏手机 6GB+64GB 砚墨黑 全网通移动联通电信4G手机 双卡双待,1058.00,7.3万+条评价,魅族京东自营旗舰店,无
荣耀畅玩8C两天一充 莱茵护眼 刘海屏 全网通版4GB+32GB 极光蓝 移动联通电信4G全面屏 双卡双待,799.00,75万+条评价,荣耀京东自营旗舰店,无
京品手机
三星 Galaxy S10 骁龙855 4G手机 8GB+512GB 炭晶黑 全网通 双卡双待 游戏,5169.00,5.7万+条评价,三星手机京东自营官方旗舰店,无
京品手机
荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 6GB+64GB 幻夜黑 移动联通电信4G全面屏 双卡双待,1089.00,212万+条评价,荣耀京东自营旗舰店,无
华为 HUAWEI 畅享10 极点全面屏4800万超清夜景4000mAh大电池 6GB+64GB极光蓝全网通双4G,1349.00,1万+条评价,华为京东自营官方旗舰店,无
OPPO Reno 4800万超清像素 NFC 超清夜景 6GB+128GB 星云紫 全网通 双卡双待 全面屏拍照智能游戏,1999.00,8.5万+条评价,OPPO京东自营官方旗舰店,无
OPPO A11x 4800万四摄 5000mAh大电池 8GB+128GB 暮辰紫 全网通4G 全面屏拍照游戏智能,1799.00,7600+条评价,OPPO京东自营官方旗舰店,无
京品手机
realme X 4800万双摄 升降摄像头 高通骁龙710 屏下指纹 全网通8GB+128GB 朋克蓝 游戏智能 真我,1699.00,22万+条评价,realme京东自营官方旗舰店,无
小米9 Pro 5G 骁龙855Plus 30W无线闪充 12GB+512GB 梦之白 双卡全网通 全面屏拍照智能新品游戏,4299.00,3.6万+条评价,小米京东自营旗舰店,无
小米Max3 5500mAh充电宝级电量 AI双摄 全金属机身 骁龙八核处理器 黑色 6GB+128GB 游戏智能拍照,1299.00,18万+条评价,小米京东自营旗舰店,无
【至高优惠100】vivo U3x 5000mAh电池 18W双引擎闪充 AI三摄全网通手机【套装】 深湖蓝 3GB 32GB,749.00,1.2万+条评价,vivo官方旗舰店,无
魅族 16s Pro 骁龙855plus 全面屏拍照游戏手机 8GB+128GB 黑之谧镜 全网通移动联通电信4G 双卡双待,2989.00,2.2万+条评价,魅族京东自营旗舰店,无
三星 Galaxy M30s（SM-M3070）探索黑 绚丽U视屏手机6GB+128GB 双卡双待,1699.00,3700+条评价,三星手机京东自营官方旗舰店,无
【新品抢购】Redmi 8 5000mAh大电量 大字体大音量大内存 3D四曲面机身 AI双摄 骁龙八核处理器 AI人脸解锁 3GB+32GB 宝石蓝 游戏智能 小米 红米,749.00,9500+条评价,小米京东自营旗舰店,无
努比亚 nubia Z20 钻石黑 8GB+128GB 4800万三摄 超清双屏自拍 全网通 移动联通电信4G 双卡双待,2999.00,9300+条评价,努比亚京东自营旗舰店,无
荣耀9X PRO 麒麟810液冷散热 4000mAh超强续航 4800万超广角夜拍三摄 6.59英寸全网通8GB+128GB 幻影紫,1989.00,5.9万+条评价,荣耀京东自营旗舰店,无
中兴ZTE Blade A7 水滴全面屏 2GB+32GB魅海蓝 1600万高清后摄 全网通4G 双卡双待,498.00,1.2万+条评价,中兴京东自营官方旗舰店,无
小米CC9 Pro 1亿像素 五摄四闪 10倍混合光学变焦 5260mAh 屏下指纹 魔法绿镜 8GB+128GB 游戏智能拍照,3099.00,1800+条评价,小米京东自营旗舰店,无
华为 HUAWEI 畅享MAX 6GB+128GB 幻夜黑 全网通 珍珠屏杜比全景声大电池 移动联通电信4G 双卡双待,1399.00,11万+条评价,华为京东自营官方旗舰店,无
联想Z6 8GB+128GB 蓝色 骁龙730 AIE处理器 4000mAh续航 屏幕光电指纹 后置三摄 全网通4G 双卡双待,1449.00,4900+条评价,联想手机京东自营官方旗舰店,无
荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,1599.00,21万+条评价,荣耀京东自营旗舰店,无
三星 Galaxy Note10 智能S Pen 骁龙855 4G手机 8GB+256GB 密斯白 全网通 双卡双待 游戏,6569.00,3500+条评价,三星手机京东自营官方旗舰店,无
